"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2017 UA52)","2017-Oct-21 07:23 ±    00:06","0.00131","0.00131","9.35","9.13","28.5","5.3 m -   12 m","0"
"(2017 UL6)","2017-Oct-28 11:24 ±    00:02","0.00040","0.00040","8.03","7.14","32.0","1.1 m -  2.4 m","0"
"(2017 UK8)","2017-Oct-30 05:18 ± < 00:01","0.00151","0.00151","14.07","13.95","28.2","6.1 m -   14 m","0"
"(2017 VE)","2017-Nov-04 05:13 ± < 00:01","0.00227","0.00227","14.08","13.99","26.6","13 m -   28 m","1"
"(2017 VL2)","2017-Nov-09 09:50 ± < 00:01","0.00079","0.00079","8.73","8.34","26.1","16 m -   36 m","2"
"(2017 VF14)","2017-Nov-13 15:30 ± < 00:01","0.00205","0.00204","11.92","11.81","28.5","5.3 m -   12 m","0"
"(2017 WW1)","2017-Nov-21 19:18 ± < 00:01","0.00094","0.00094","12.66","12.44","29.7","3.1 m -  6.8 m","0"
"(2017 WA14)","2017-Nov-21 19:53 ± < 00:01","0.00063","0.00063","16.39","16.13","27.4","8.8 m -   20 m","1"
"(2017 WE30)","2017-Nov-26 17:55 ±    00:03","0.00020","0.00020","18.49","17.76","31.8","1.2 m -  2.6 m","0"
"(2020 CD3)","2017-Dec-06 09:22 ± < 00:01","0.00166","0.00166","1.67","-NaN","31.7","1.2 m -  2.7 m","0"
"(2017 YZ4)","2017-Dec-28 15:50 ± < 00:01","0.00149","0.00149","9.57","9.38","28.1","6.4 m -   14 m","0"
"(2017 YE7)","2017-Dec-30 17:47 ± < 00:01","0.00206","0.00204","20.19","20.13","28.5","5.3 m -   12 m","0"
"(2018 AH)","2018-Jan-02 04:25 ± < 00:01","0.00199","0.00199","13.75","13.66","22.7","77 m -  170 m","3"
"(2018 BW)","2018-Jan-15 15:13 ±    00:04","0.00112","0.00111","6.87","6.51","28.1","6.4 m -   14 m","0"
"(2018 BR1)","2018-Jan-16 13:22 ± < 00:01","0.00088","0.00088","8.86","8.51","29.5","3.3 m -  7.5 m","0"
"(2018 BD)","2018-Jan-18 15:43 ± < 00:01","0.00026","0.00026","10.00","8.92","30.1","2.5 m -  5.7 m","0"
"(2018 BF3)","2018-Jan-19 03:00 ± < 00:01","0.00162","0.00162","13.47","13.34","26.0","17 m -   38 m","2"
"(2018 BC)","2018-Jan-19 20:23 ± < 00:01","0.00189","0.00189","2.67","2.07","29.4","3.5 m -  7.8 m","0"
"(2018 BX)","2018-Jan-19 23:00 ± < 00:01","0.00188","0.00187","5.85","5.60","29.1","4.0 m -  9.0 m","0"
"(2018 BL11)","2018-Jan-20 19:55 ± < 00:01","0.00202","0.00202","11.46","11.35","28.2","6.1 m -   14 m","0"
"(2018 BN6)","2018-Jan-24 09:29 ± < 00:01","0.00242","0.00242","10.34","10.23","26.8","12 m -   26 m","1"
"(2018 CS1)","2018-Feb-04 14:50 ±    00:01","0.00230","0.00229","8.79","8.65","28.2","6.1 m -   14 m","0"
"(2018 CF2)","2018-Feb-06 19:16 ± < 00:01","0.00065","0.00065","13.54","13.24","28.0","6.7 m -   15 m","1"
"(2018 CC)","2018-Feb-06 20:12 ± < 00:01","0.00126","0.00126","10.64","10.44","26.6","13 m -   28 m","1"
"(2018 CN2)","2018-Feb-09 07:26 ± < 00:01","0.00047","0.00047","20.16","19.88","27.8","7.3 m -   16 m","1"
"(2018 CB)","2018-Feb-09 22:29 ± < 00:01","0.00047","0.00047","7.27","6.44","25.9","18 m -   39 m","3"
"(2018 CD3)","2018-Feb-15 20:03 ± < 00:01","0.00237","0.00237","7.59","7.44","28.6","5.1 m -   11 m","0"
"(2020 CD3)","2018-Feb-19 08:28 ± < 00:01","0.00149","0.00149","1.77","-NaN","31.7","1.2 m -  2.7 m","0"
"(2018 DQ)","2018-Feb-21 12:17 ±    00:06","0.00067","0.00067","21.06","20.87","29.1","4.0 m -  9.0 m","0"
"(2018 DN4)","2018-Feb-24 15:37 ±    01:34","0.00140","0.00128","18.19","18.08","28.5","5.2 m -   12 m","0"
"(2018 DU)","2018-Feb-25 18:22 ± < 00:01","0.00190","0.00190","4.60","4.28","28.3","5.8 m -   13 m","0"
"(2018 DV1)","2018-Mar-02 05:54 ±    00:07","0.00075","0.00075","6.56","6.00","28.4","5.6 m -   12 m","1"
"(2018 EZ2)","2018-Mar-14 02:41 ± < 00:01","0.00144","0.00144","9.47","9.28","26.2","15 m -   34 m","1"
"(2018 FL29)","2018-Mar-17 23:18 ±    00:20","0.00148","0.00146","12.04","11.89","30.1","2.6 m -  5.7 m","0"
"(2018 FE3)","2018-Mar-18 07:12 ± < 00:01","0.00098","0.00098","6.44","6.00","27.2","9.7 m -   22 m","1"
"(2018 FQ3)","2018-Mar-19 05:59 ± < 00:01","0.00187","0.00185","11.04","10.91","28.6","5.1 m -   11 m","0"
"(2018 FZ3)","2018-Mar-23 16:19 ± < 00:01","0.00129","0.00128","14.11","13.96","27.6","8.1 m -   18 m","1"
"(2018 FK5)","2018-Mar-30 13:28 ± < 00:01","0.00100","0.00100","11.50","11.26","28.3","5.8 m -   13 m","0"
"(2018 GR11)","2018-Apr-07 07:52 ±    02:12","0.00177","0.00173","9.90","9.74","28.5","5.3 m -   12 m","0"
"(2018 GY3)","2018-Apr-10 04:23 ±    00:02","0.00201","0.00201","11.27","11.15","27.6","8.0 m -   18 m","0"
"(2018 GD2)","2018-Apr-12 16:42 ± < 00:01","0.00201","0.00200","7.78","7.61","29.5","3.3 m -  7.5 m","0"
"(2018 GE3)","2018-Apr-15 06:41 ± < 00:01","0.00129","0.00129","29.58","29.51","23.8","46 m -  100 m","3"
"(2018 HW1)","2018-Apr-21 22:53 ± < 00:01","0.00229","0.00229","4.96","4.72","25.8","18 m -   41 m","1"
"(2018 HV)","2018-Apr-22 17:07 ± < 00:01","0.00103","0.00103","16.03","15.87","28.9","4.4 m -  9.9 m","0"
"(2020 CD3)","2018-May-09 13:48 ± < 00:01","0.00017","0.00017","5.53","-NaN","31.7","1.2 m -  2.7 m","0"
"(2010 WC9)","2018-May-15 22:05 ± < 00:01","0.00136","0.00136","12.81","12.66","23.5","53 m -  120 m","3"
"(2018 KW1)","2018-May-23 11:57 ± < 00:01","0.00100","0.00100","7.30","6.92","29.7","3.1 m -  6.8 m","0"
"(2018 KY2)","2018-May-26 05:25 ± < 00:01","0.00200","0.00200","12.18","12.07","27.2","9.7 m -   22 m","1"
"(2018 LV3)","2018-Jun-15 02:31 ± < 00:01","0.00220","0.00220","11.12","11.01","26.5","13 m -   30 m","1"
"(2018 MZ4)","2018-Jun-16 18:55 ± < 00:01","0.00139","0.00139","9.76","9.57","28.8","4.6 m -   10 m","0"
"(2018 NX)","2018-Jul-07 18:12 ± < 00:01","0.00078","0.00078","4.15","3.22","27.7","7.7 m -   17 m","1"
"(2018 NW)","2018-Jul-08 03:12 ± < 00:01","0.00083","0.00083","21.26","21.11","27.8","7.3 m -   16 m","1"
"(2020 CD3)","2018-Aug-09 12:37 ± < 00:01","0.00204","0.00204","1.48","-NaN","31.7","1.2 m -  2.7 m","0"
"(2018 PD20)","2018-Aug-10 14:34 ±    00:01","0.00022","0.00022","12.04","11.01","27.4","8.8 m -   20 m","2"
"(2018 QR1)","2018-Aug-21 21:10 ±    00:02","0.00059","0.00059","18.02","17.77","27.2","9.5 m -   21 m","2"
"(2018 RR1)","2018-Sep-03 21:59 ± < 00:01","0.00243","0.00242","4.60","4.36","30.0","2.7 m -  6.0 m","0"
"(2018 RS)","2018-Sep-05 17:21 ±    00:04","0.00071","0.00071","17.07","16.85","30.0","2.7 m -  5.9 m","0"
"(2018 RE2)","2018-Sep-06 10:06 ± < 00:01","0.00255","0.00254","8.73","8.61","28.5","5.3 m -   12 m","0"
"(2018 RJ3)","2018-Sep-07 21:43 ± < 00:01","0.00112","0.00112","8.39","8.11","27.8","7.3 m -   16 m","1"
"(2018 RW)","2018-Sep-08 05:18 ± < 00:01","0.00114","0.00114","6.25","5.87","30.6","2.0 m -  4.5 m","0"
"(2018 RC)","2018-Sep-09 12:09 ± < 00:01","0.00150","0.00150","5.33","4.99","24.9","27 m -   61 m","2"
"(2018 RY5)","2018-Sep-12 17:12 ± < 00:01","0.00120","0.00120","23.72","23.62","26.6","13 m -   28 m","1"
"(2018 RZ5)","2018-Sep-12 20:08 ± < 00:01","0.00033","0.00033","20.23","19.83","29.7","3.0 m -  6.8 m","1"
"(2018 SM)","2018-Sep-15 22:29 ± < 00:01","0.00028","0.00028","11.08","10.20","29.4","3.5 m -  7.8 m","1"
"(2018 SC)","2018-Sep-18 14:46 ± < 00:01","0.00179","0.00179","14.03","13.92","28.0","6.7 m -   15 m","0"
"(2018 SD2)","2018-Sep-25 06:07 ±    00:01","0.00059","0.00059","4.14","2.85","28.6","5.1 m -   11 m","1"
"(2018 TC)","2018-Sep-30 20:00 ± < 00:01","0.00204","0.00204","5.86","5.63","26.6","13 m -   28 m","1"
"(2018 TV5)","2018-Oct-06 05:24 ± < 00:01","0.00068","0.00068","15.28","15.03","29.5","3.3 m -  7.5 m","0"
